Date,Department,Country,Revenue,Cost,Budget_Revenue,Budget_Cost,Cost_Type
2023-01-20 00:00:00,Operations,Germany,18360.98,9178.1,16743.45,4495.94,Salary
2023-01-20 00:00:00,HR,FRANCE,,,11301.02,6048.67,salary
2023-01-20 00:00:00,Marketing,Germany,,,15067.02,6237.36,Materials
2023-01-21 00:00:00,Sales,France,N/A,10676.61,10697.24,5708.65,LOGISTICS
2023-01-21 00:00:00,Operations,germany ,,,15121.97,5540.42,Logistics
2023-01-21 00:00:00,HR,France,N/A,missing,8223.3,8390.56,Logistics
2023-01-21 00:00:00,Marketing,germany ,N/A,7578.07,17986.63,7352.78,Materials
2023-01-22 00:00:00,Sales,germany ,,missing,12834.03,5362.28,salary
2023-01-22 00:00:00,Operations,germany ,N/A,3305.78,10198.38,7088.91,salary
2023-01-22 00:00:00,HR,Germany,N/A,,12179.33,7139.78,Logistics
2023-01-22 00:00:00,marketing,Spain,N/A,missing,17602.63,9504.55,Logistics
2023-01-23 00:00:00,Sales,FRANCE,N/A,,9442.83,4076.65,Logistics
2023-01-23 00:00:00,Operations,germany ,9870.34,missing,10955.7,6635.12,salary
2023-01-23 00:00:00,HR,France,,4725.27,16504.34,8038.33,Logistics
2023-01-23 00:00:00,Marketing,Spain,,missing,17251.84,7255.12,LOGISTICS
2023-01-24 00:00:00,Sales,FRANCE,N/A,,10992.82,7713.22,LOGISTICS
2023-01-24 00:00:00,Operations,germany ,N/A,3239.77,15276.48,9879.56,Utilities
01-13-2023,HR,Netherlands,10294.81,,14216.39,5093.53,LOGISTICS
2023-01-24 00:00:00,Marketing,Spain,11647.6,,16829.27,8353.96,LOGISTICS
2023-01-25 00:00:00,Sales,France,N/A,7887.28,8079.32,4636.74,Salary
2023-01-25 00:00:00,Operations,Netherlands,9144.08,,10132.44,6075.79,Rent
2023-01-25 00:00:00,HR,France,16484.41,missing,12168.14,4697.51,LOGISTICS
2023-01-25 00:00:00,Marketing,France,12267.09,,13632.85,8663.8,Rent
2023-01-26 00:00:00,Sales,germany ,19174.09,,13885.92,4964.79,Materials
2023-01-26 00:00:00,Operations,Netherlands,8324.42,missing,13773.47,9123.08,Salary
2023-01-26 00:00:00,HR,Germany,,missing,15919.6,9753.81,salary
2023-01-26 00:00:00,Marketing,Germany,N/A,missing,17710.17,5438.07,Logistics
2023-01-27 00:00:00,Sales,germany ,,,14598.25,8906.21,salary
2023-01-27 00:00:00,Operations,FRANCE,N/A,,13756.79,6043.54,Logistics
2023-01-27 00:00:00,HR,France,,missing,14034.07,5865.95,Rent
2023-01-27 00:00:00,Marketing,Spain,N/A,missing,12313.79,7331.29,Rent
2023-01-28 00:00:00,Sales,germany ,9882.32,,17389.84,5936.82,Salary
2023-01-28 00:00:00,Operations,France,14623.26,missing,16166.04,4398.15,LOGISTICS
2023-01-28 00:00:00,HR,FRANCE,6799.02,,14820.9,8355.36,Rent
2023-01-28 00:00:00,Marketing,Spain,8501.63,missing,13604.48,6656.06,Materials
2023-01-29 00:00:00,Sales,FRANCE,,missing,16152.79,4974.69,LOGISTICS
2023-01-29 00:00:00,Operations,France,N/A,missing,8453.17,4371.03,Utilities
2023-01-29 00:00:00,HR,Germany,,,16984.86,9782.02,Rent
2023-01-29 00:00:00,Marketing,Germany,N/A,,17039.89,9891.14,Logistics
2023-01-30 00:00:00,Sales,Spain,N/A,,9068.5,5496.71,Materials
2023-01-30 00:00:00,Operations,germany ,N/A,,11367.43,5059.73,Materials
2023-01-30 00:00:00,HR,Spain,13152.95,missing,13714.05,6281.66,Salary
2023-01-30 00:00:00,Marketing,FRANCE,N/A,missing,14968.72,6679.12,LOGISTICS
2023-01-31 00:00:00,Sales,Netherlands,,,13535.53,6383.66,salary
2023-01-31 00:00:00,Operations,Spain,8190.77,,13964.91,4968.54,Salary
2023-01-31 00:00:00,HR,Spain,N/A,,13890.32,7624.8,Rent
2023-01-31 00:00:00,Marketing,Germany,14464.89,missing,11382.17,6405.2,Logistics
2023-02-01 00:00:00,Sales,Netherlands,14441.93,,14331.24,4814.13,Rent
2023-02-01 00:00:00,operations,Germany,19804.7,,9873.77,8878.36,LOGISTICS
2023-02-01 00:00:00,HR,Netherlands,16390.25,9187.71,15400.45,8875.83,Materials
01-13-2023,Marketing,Netherlands,18832.11,5329.09,15736.19,8847.61,salary
2023-02-02 00:00:00,Sales,Netherlands,N/A,,15357.62,6994.76,Rent
2023-02-02 00:00:00,Operations,France,N/A,,14632.27,4908.37,Rent
2023-02-02 00:00:00,HR,germany ,12265.79,,14096.58,6588.63,Utilities
01-13-2023,Marketing,Spain,19578.2,missing,10338.41,6371.47,Salary
2023-02-03 00:00:00,Sales,Spain,N/A,missing,8426.68,8908.41,salary
2023-02-03 00:00:00,Operations,Germany,14749.79,,8557.42,4814.9,Utilities
2023-02-03 00:00:00,hr,Netherlands,,,10315.31,8871.47,Utilities
2023-02-03 00:00:00,Marketing,Germany,N/A,11852.7,11288.06,9601.5,salary
2023-02-04 00:00:00,Sales,Germany,6251.28,missing,12452.3,5470.36,Logistics
2023-02-04 00:00:00,Operations,FRANCE,N/A,,16505.76,7284.11,LOGISTICS
2023-02-04 00:00:00,HR,Germany,,7083.81,9795.1,7457.98,Materials
2023-02-04 00:00:00,Marketing,germany ,N/A,10633.56,9613.35,6266.27,Materials
2023-02-05 00:00:00,Sales,Netherlands,N/A,10243.64,9830.09,6238.06,Salary
2023-02-05 00:00:00,Operations,France,,,16721.11,8820.66,Utilities
2023-02-05 00:00:00,HR,France,5057.21,3176.37,16612.63,5447.63,LOGISTICS
2023-02-05 00:00:00,Marketing,Germany,N/A,11860.09,16881.35,9902.18,Utilities
2023-02-06 00:00:00,Sales,Spain,6091.44,missing,16634.33,7422.76,Materials
2023-02-06 00:00:00,Operations,Netherlands,,3890.13,16318.58,8247.02,salary
2023-02-06 00:00:00,HR,FRANCE,N/A,10166.74,8939.39,7177.45,Salary
2023-02-06 00:00:00,Marketing,Spain,,missing,9187.12,6115.32,Logistics
2023-02-07 00:00:00,Sales,France,,missing,11896.13,9680.13,Rent
2023-02-07 00:00:00,Operations,Spain,12524.82,,16127.85,5738.38,LOGISTICS
2023-02-07 00:00:00,HR,Netherlands,N/A,,16238.14,6178.83,Logistics
2023-02-07 00:00:00,Marketing,Netherlands,15548.56,,13328.07,4845.03,Rent
2023-02-08 00:00:00,Sales,germany ,6313.85,missing,9360.17,4927.1,Logistics
2023-02-08 00:00:00,Operations,Germany,,,17261.0,4419.45,Rent
2023-02-08 00:00:00,HR,Netherlands,,missing,13803.86,8518.33,Logistics
2023-02-08 00:00:00,Marketing,FRANCE,N/A,missing,12882.9,5226.84,Logistics
2023-02-09 00:00:00,sales,FRANCE,,7196.22,16984.21,6204.27,Logistics
2023-02-09 00:00:00,Operations,Germany,N/A,,11553.49,4680.19,salary
2023-02-09 00:00:00,HR,FRANCE,,missing,16173.59,4999.93,salary
2023-02-09 00:00:00,Marketing,Spain,8918.0,,12881.68,9334.75,Rent
2023-02-10 00:00:00,Sales,France,N/A,,13472.58,4538.0,Rent
2023-02-10 00:00:00,Operations,FRANCE,,missing,15609.97,7864.26,Logistics
2023-02-10 00:00:00,HR,France,,7896.59,9625.16,6169.18,Rent
2023-02-10 00:00:00,Marketing,Germany,,,17204.14,8766.1,Utilities
2023-02-11 00:00:00,Sales,Netherlands,N/A,missing,8937.62,5828.24,Materials
2023-02-11 00:00:00,Operations,Netherlands,,7977.59,8525.55,5994.32,salary
2023-02-11 00:00:00,HR,Germany,14357.97,6815.89,14469.41,4555.37,Materials
2023-02-11 00:00:00,Marketing,France,N/A,2333.08,15711.07,5090.54,Utilities
01-13-2023,Sales,France,13429.16,,13737.9,7749.76,salary
2023-02-12 00:00:00,Operations,Germany,,,17859.07,7816.54,Materials
2023-02-12 00:00:00,HR,France,10059.15,,14761.34,5718.72,Utilities
2023-02-12 00:00:00,Marketing,Germany,,5877.12,11431.52,5540.22,LOGISTICS
2023-02-13 00:00:00,Sales,Germany,N/A,,13578.58,7029.06,Rent
2023-02-13 00:00:00,Operations,Spain,N/A,4042.88,12216.67,5021.47,Materials
2023-02-13 00:00:00,HR,Germany,N/A,,11280.26,9500.02,Rent
2023-02-13 00:00:00,Marketing,Netherlands,,4221.87,10348.28,5776.3,Materials
2023-02-14 00:00:00,Sales,Spain,N/A,missing,15966.33,9331.83,Logistics
2023-02-14 00:00:00,Operations,Netherlands,,missing,11002.77,9441.16,Salary
2023-02-14 00:00:00,HR,Germany,11907.19,8432.06,11644.2,5865.72,Logistics
2023-02-14 00:00:00,Marketing,germany ,7981.6,missing,8746.48,7897.27,Logistics
2023-02-15 00:00:00,Sales,FRANCE,10104.71,missing,11691.51,6619.32,Utilities
2023-02-15 00:00:00,Operations,Spain,13392.11,missing,17442.58,7616.28,salary
2023-02-15 00:00:00,HR,Germany,N/A,6133.67,16738.09,7847.28,Rent
2023-02-15 00:00:00,Marketing,Spain,18074.99,10176.34,8715.35,7191.56,Materials
2023-02-16 00:00:00,Sales,Spain,,5827.44,8098.37,8852.49,Rent
2023-02-16 00:00:00,Operations,FRANCE,14199.41,,11407.94,5609.47,Utilities
2023-02-16 00:00:00,HR,FRANCE,11705.27,,11177.76,4142.01,Rent
2023-02-16 00:00:00,Marketing,Spain,11757.92,missing,9424.37,5198.2,LOGISTICS
2023-02-17 00:00:00,Sales,Germany,N/A,,14348.49,5462.16,salary
2023-02-17 00:00:00,Operations,FRANCE,13497.47,missing,8782.43,4410.56,Materials
2023-02-17 00:00:00,HR,France,16944.98,,17063.8,8714.85,Logistics
2023-02-17 00:00:00,Marketing,Germany,N/A,missing,10787.04,5162.03,Logistics
2023-02-18 00:00:00,Sales,France,13244.0,,17819.08,5440.14,salary
2023-02-18 00:00:00,Operations,Spain,16466.71,,9900.86,5877.63,salary
2023-02-18 00:00:00,HR,germany ,N/A,10633.29,13138.97,4121.24,Logistics
2023-02-18 00:00:00,Marketing,Netherlands,N/A,missing,14061.47,5535.07,Utilities
2023-02-19 00:00:00,Sales,France,,missing,15869.54,8370.12,Logistics
2023-02-19 00:00:00,Operations,Spain,12160.28,9820.28,10530.95,7192.65,Rent
01-13-2023,HR,Netherlands,12777.64,,9324.01,9126.34,Salary
2023-02-19 00:00:00,Marketing,Germany,5100.29,,8015.99,6102.03,Materials
2023-02-20 00:00:00,Sales,FRANCE,N/A,9306.19,17767.09,5225.24,Logistics
2023-02-20 00:00:00,Operations,Germany,,missing,17977.88,6296.11,Logistics
2023-02-20 00:00:00,HR,germany ,N/A,missing,13412.59,4400.27,Utilities
2023-02-20 00:00:00,Marketing,FRANCE,13380.8,,14747.57,4190.16,Salary
2023-02-21 00:00:00,Sales,Spain,,2175.89,9997.96,4947.99,Salary
2023-02-21 00:00:00,Operations,Germany,N/A,,10235.4,5780.8,salary
2023-02-21 00:00:00,HR,FRANCE,16301.14,,11220.73,9705.62,LOGISTICS
2023-02-21 00:00:00,Marketing,Germany,N/A,missing,17287.48,5140.41,Materials
2023-02-22 00:00:00,Sales,Germany,,7850.72,16728.07,4114.17,Salary
2023-02-22 00:00:00,Operations,Germany,19426.81,,16934.23,4277.5,Materials
2023-02-22 00:00:00,HR,FRANCE,N/A,5434.61,9494.86,5722.65,Salary
2023-02-22 00:00:00,Marketing,France,N/A,,14335.81,9672.97,LOGISTICS
2023-02-23 00:00:00,Sales,FRANCE,,,14965.2,9589.0,Materials
2023-02-23 00:00:00,Operations,Spain,N/A,missing,14126.85,4198.44,salary
2023-02-23 00:00:00,HR,Germany,N/A,missing,11096.28,8670.92,Materials
2023-02-23 00:00:00,Marketing,Germany,N/A,missing,15886.83,7152.17,LOGISTICS
2023-02-24 00:00:00,Sales,germany ,N/A,,11218.02,7046.65,Materials
2023-02-24 00:00:00,Operations,Netherlands,N/A,9699.74,8896.91,8524.63,Utilities
2023-02-24 00:00:00,HR,Spain,N/A,6065.87,15198.86,5202.2,Salary
2023-02-24 00:00:00,Marketing,Spain,,11972.5,13651.81,9271.59,Materials
2023-02-25 00:00:00,Sales,Spain,,,13929.81,9279.56,Rent
2023-02-25 00:00:00,Operations,germany ,,,14848.51,7335.96,Salary
2023-02-25 00:00:00,HR,FRANCE,5311.43,,12359.58,4403.92,salary
2023-02-25 00:00:00,Marketing,France,14722.37,,16541.19,5888.72,Materials
2023-02-26 00:00:00,Sales,France,10966.04,10720.88,12418.19,6882.12,Materials
2023-02-26 00:00:00,Operations,germany ,N/A,,11549.89,9619.38,Utilities
2023-02-26 00:00:00,HR,Germany,N/A,missing,9757.32,5458.6,LOGISTICS
2023-02-26 00:00:00,Marketing,Spain,,8609.54,14468.08,5192.25,Utilities
2023-02-27 00:00:00,Sales,Spain,,3730.08,17942.05,6348.08,Utilities
2023-02-27 00:00:00,Operations,germany ,,9145.26,11253.07,9942.57,Salary
2023-02-27 00:00:00,HR,FRANCE,19062.67,5906.92,12314.64,5331.37,Salary
2023-02-27 00:00:00,Marketing,germany ,11547.12,,12905.26,6306.78,Materials
2023-02-28 00:00:00,Sales,germany ,15588.29,,13422.42,4039.27,salary
2023-02-28 00:00:00,Operations,Germany,,10076.93,17772.66,4644.63,Materials
2023-02-28 00:00:00,HR,France,9063.62,,11186.23,6104.62,LOGISTICS
2023-02-28 00:00:00,Marketing,France,N/A,,13890.3,7461.93,Logistics
2023-03-01 00:00:00,Sales,FRANCE,N/A,,15021.77,8908.59,Salary
2023-03-01 00:00:00,Operations,France,,11895.26,10733.59,6795.16,LOGISTICS
2023-03-01 00:00:00,HR,Spain,16326.75,6899.71,14319.92,5971.68,Utilities
2023-03-01 00:00:00,Marketing,France,,,8645.02,4032.18,Rent
2023-03-02 00:00:00,Sales,germany ,7028.52,8314.42,16133.98,5258.98,Materials
2023-03-02 00:00:00,Operations,germany ,N/A,,14105.39,7623.71,Materials
2023-03-02 00:00:00,HR,FRANCE,13042.19,missing,13959.34,4663.59,Rent
2023-03-02 00:00:00,Marketing,Germany,,missing,11402.42,7841.34,Utilities
2023-03-03 00:00:00,Sales,France,,,10057.31,8909.15,Materials
2023-03-03 00:00:00,Operations,France,N/A,missing,15803.14,5628.39,Utilities
2023-03-03 00:00:00,HR,Netherlands,N/A,5467.27,16975.17,7421.01,LOGISTICS
2023-03-03 00:00:00,Marketing,germany ,N/A,7601.06,10461.39,9145.68,Logistics
2023-03-04 00:00:00,Sales,France,,missing,16015.4,9673.18,LOGISTICS
2023-03-04 00:00:00,Operations,Germany,N/A,missing,13472.25,7704.44,Materials
2023-03-04 00:00:00,HR,France,N/A,missing,16768.12,4619.05,Materials
2023-03-04 00:00:00,Marketing,germany ,,11066.37,16137.08,7930.97,salary
2023-03-05 00:00:00,Sales,Netherlands,,missing,10120.34,8010.67,salary
2023-03-05 00:00:00,Operations,Germany,N/A,,14079.81,9987.13,Utilities
2023-03-05 00:00:00,HR,FRANCE,18606.11,,14755.78,8533.93,salary
2023-03-05 00:00:00,Marketing,Netherlands,N/A,9178.29,16855.73,4210.64,Salary
2023-03-06 00:00:00,Sales,Netherlands,N/A,missing,15651.57,5295.26,LOGISTICS
2023-03-06 00:00:00,Operations,Spain,14529.98,missing,10013.09,4305.27,LOGISTICS
2023-03-06 00:00:00,HR,France,,5746.41,16589.61,7367.63,Utilities
2023-03-06 00:00:00,Marketing,FRANCE,N/A,,17462.68,4689.27,Rent
2023-03-07 00:00:00,Sales,Germany,5198.16,missing,16902.07,4716.34,Utilities
2023-03-07 00:00:00,Operations,FRANCE,9656.8,,12209.64,5998.69,Utilities
01-13-2023,HR,Netherlands,19722.07,11919.0,8849.86,6305.17,Salary
2023-03-07 00:00:00,Marketing,FRANCE,,5737.65,11554.97,9278.68,Materials
2023-03-08 00:00:00,Sales,Netherlands,N/A,missing,10504.67,8525.25,Salary
2023-03-08 00:00:00,Operations,France,,missing,13754.81,4750.34,Materials
2023-03-08 00:00:00,hr,Spain,13015.67,missing,17553.84,7958.91,Rent
2023-03-08 00:00:00,Marketing,germany ,14452.33,missing,13790.73,9385.12,LOGISTICS
2023-03-09 00:00:00,Sales,Spain,,6516.96,17246.74,5969.22,Salary
2023-03-09 00:00:00,Operations,Spain,N/A,,14335.48,9190.95,salary
2023-03-09 00:00:00,HR,FRANCE,N/A,missing,17867.96,7471.93,LOGISTICS
2023-03-09 00:00:00,Marketing,Spain,18250.15,7245.33,15758.04,5004.73,Logistics
2023-03-10 00:00:00,sales,Netherlands,13276.32,missing,12773.35,6805.08,salary
2023-03-10 00:00:00,Operations,Spain,,missing,9538.25,8744.96,Salary
2023-03-10 00:00:00,HR,Netherlands,N/A,7042.31,15333.52,4154.68,LOGISTICS
2023-03-10 00:00:00,Marketing,FRANCE,,missing,13769.77,9685.99,Rent
2023-03-11 00:00:00,Sales,France,14570.95,missing,11171.24,7900.07,LOGISTICS
2023-03-11 00:00:00,Operations,Netherlands,,missing,16652.48,5745.78,Utilities
2023-03-11 00:00:00,HR,France,19426.38,4934.72,9669.71,5979.47,Utilities
2023-03-11 00:00:00,Marketing,Germany,,,9071.76,9009.15,Rent
2023-03-12 00:00:00,Sales,Spain,N/A,,11594.03,5372.51,Materials
2023-03-12 00:00:00,operations,France,N/A,missing,14578.47,9126.62,Logistics
2023-03-12 00:00:00,HR,France,,,11261.94,9881.31,Logistics
2023-03-12 00:00:00,Marketing,Spain,,missing,17004.86,9673.09,Utilities
2023-03-13 00:00:00,Sales,Germany,N/A,,10682.64,9983.77,Materials
2023-03-13 00:00:00,Operations,Germany,,missing,16100.43,6258.06,LOGISTICS
2023-03-13 00:00:00,HR,germany ,19329.3,missing,12812.19,4308.6,Rent
2023-03-13 00:00:00,Marketing,Spain,,9764.34,14819.61,9214.32,Rent
2023-03-14 00:00:00,sales,germany ,19614.16,2885.37,10132.52,9703.73,Rent
2023-03-14 00:00:00,Operations,FRANCE,,3814.06,11582.03,9010.87,Utilities
2023-03-14 00:00:00,HR,FRANCE,,4127.54,12430.43,8644.33,Salary
2023-03-14 00:00:00,Marketing,germany ,,missing,12574.93,7633.73,Rent
2023-03-15 00:00:00,Sales,France,12657.52,2673.13,11287.18,6570.87,LOGISTICS
2023-03-15 00:00:00,Operations,Germany,19919.21,missing,8880.04,4299.07,Salary
2023-03-15 00:00:00,HR,Germany,N/A,7845.45,16710.12,4596.91,Rent
2023-03-15 00:00:00,Marketing,Spain,12162.74,,16042.71,9041.76,Logistics
2023-03-16 00:00:00,sales,Germany,,missing,17360.39,6744.42,Salary
2023-03-16 00:00:00,Operations,Germany,N/A,5255.79,17971.01,5581.77,Materials
2023-03-16 00:00:00,HR,Germany,,4363.82,15561.71,5641.27,Salary
2023-03-16 00:00:00,marketing,France,N/A,missing,11492.12,8899.95,Materials
2023-03-17 00:00:00,Sales,FRANCE,N/A,4491.81,11090.95,5626.06,Rent
2023-03-17 00:00:00,Operations,Spain,8735.26,,15402.01,4211.06,Salary
2023-03-17 00:00:00,HR,Germany,N/A,missing,8584.43,8411.08,Materials
01-13-2023,Marketing,Germany,N/A,4383.61,15589.45,4787.43,LOGISTICS
2023-03-18 00:00:00,Sales,FRANCE,N/A,,10299.45,9793.35,Rent
2023-03-18 00:00:00,Operations,germany ,N/A,missing,14666.98,7703.07,Salary
2023-03-18 00:00:00,HR,Netherlands,,missing,10292.68,7465.93,LOGISTICS
2023-03-18 00:00:00,Marketing,Netherlands,,9520.91,10305.04,9466.9,salary
2023-03-19 00:00:00,Sales,France,14702.47,6954.77,13261.54,7677.99,LOGISTICS
2023-03-19 00:00:00,Operations,Netherlands,,,14245.25,4068.57,LOGISTICS
2023-03-19 00:00:00,HR,France,N/A,,15664.69,5959.03,Rent
2023-03-19 00:00:00,Marketing,Spain,N/A,missing,11533.81,6479.79,LOGISTICS
2023-03-20 00:00:00,Sales,germany ,N/A,2129.48,15803.92,5680.71,LOGISTICS
2023-03-20 00:00:00,Operations,Spain,N/A,missing,9545.33,9168.9,Utilities
2023-03-20 00:00:00,hr,Spain,N/A,7649.37,8933.12,7923.82,Rent
2023-03-20 00:00:00,Marketing,FRANCE,N/A,,12645.61,8549.88,Materials
2023-03-21 00:00:00,Sales,germany ,N/A,4355.45,12186.66,9029.16,Rent
2023-03-21 00:00:00,Operations,FRANCE,,missing,13923.75,7688.64,salary
2023-03-21 00:00:00,HR,France,N/A,missing,16729.27,5000.4,Utilities
2023-03-21 00:00:00,Marketing,FRANCE,8949.12,3619.78,14794.0,8681.92,Logistics
2023-03-22 00:00:00,Sales,germany ,N/A,missing,10485.0,4239.92,LOGISTICS
2023-03-22 00:00:00,operations,Netherlands,14988.59,10397.08,9992.08,8577.24,Rent
2023-03-22 00:00:00,HR,Netherlands,5478.47,,9968.98,7999.5,Materials
2023-03-22 00:00:00,marketing,Netherlands,18731.64,8214.71,8332.11,4319.9,Materials
2023-03-23 00:00:00,Sales,Germany,,11497.15,10023.21,8524.9,Rent
2023-03-23 00:00:00,Operations,Germany,12591.83,5001.74,10236.72,4021.4,LOGISTICS
2023-03-23 00:00:00,HR,France,8984.8,,17700.37,6269.0,Utilities
2023-03-23 00:00:00,Marketing,germany ,,,14722.17,4552.51,Utilities
2023-03-24 00:00:00,Sales,FRANCE,N/A,,13226.6,7883.69,Rent
